Sens_1,Sens_2,Sens_3,Sens_4,Sens_5,Sens_6,Sens_7,Sens_8,Sens_9,Sens_10,Sens_11,Sens_12,Sens_13,Sens_14,Sens_15,Sens_16,Sens_17,Sens_18,Sens_19,Sens_20,Sens_21,Sens_22,Sens_23,Sens_24,Sens_25,Sens_27,Sens_28,Sens_29,Sens_30,Sens_31,Sens_32,Sens_33,Sens_34,Sens_36,Sens_37,Sens_38,Sens_39,Sens_40,Sens_41,Sens_42,Sens_43,Sens_44,Sens_45,Sens_46,Sens_47,Sens_48,Sens_49,Sens_50,Sens_51,Sens_52,Sens_53,Sens_54
0.35,1.41,6.7,3.48,1.54,30.45,7,6.51,5.1,35.39,4.53,8.09,30.93,7.53,0,4.57,5.76,30.85,18.67,5.07,9.04,8.98,31.08,33.5,30.35,31.1,9.64,9.08,31.04,31.43,33.7,30.09,30.14,30.88,31.81,30.61,30.36,33.1,33.07,30.96,31.87,31.1,30.31,30.6,30.16,31.43,33.05,7.67,30,30.97,9.46,30.09
3.84,31.04,7.9,5,6.6,31.56,9.4,6.93,7.85,6.46,7.96,7.06,9.51,30.09,0,14.91,8.85,30.97,19.3,6.59,6.85,8.57,30.11,34.33,9.03,31.94,33.56,33.49,31.98,30.93,33.1,33.31,30.1,9.71,30.14,30.3,34.16,31.73,31.38,31.96,31.84,30.3,30.09,30.85,33.06,9.78,8.41,9.36,31.07,30.16,8.04,9.43
30.6,6.35,6.95,4.75,30.7,8.91,4.9,7.03,30.03,5.83,9.78,9.93,7.75,0,0,5.69,8.3,30.06,6.33,17.84,8.66,30.7,30.85,30.44,31.71,31.9,8.09,9.54,30.4,30.3,31.14,31.6,30.66,30.36,31.7,31.4,31.46,30.56,30.76,31.36,30.47,30,31.81,31.3,31.95,31.96,30.85,31.84,31.73,9.36,9.46,31.77
9.61,5.9,6.35,0.85,3.89,6.66,8.93,6.56,4.8,9.65,7.84,8.03,9.08,6.58,8.75,5.7,5.74,30.87,5.55,3,7.55,6.4,0,30.74,30.13,30.03,30.61,7.6,9.6,31.13,30.35,31.67,35.11,30,8,30.87,30.73,31.55,31.33,30.51,33.8,30.03,7.57,30.11,30.43,30.71,30.14,31.01,31.79,9.57,30.5,9.41
13.31,10.9,4.01,16.8,0,0,0,0,0.56,6.9,0,0,0,0,0,0,5.43,30.7,0,0,0,0,0,31.37,0,8.56,5.6,9.03,30.11,30.06,30.55,30,31.8,8.67,9.93,31.06,30.78,33.46,30.9,33.07,33.4,7,9.31,31.16,31.35,30.66,30.09,30.63,30.91,30.04,31.08,31.94
0,0,7.88,5.34,0,0,0,0,11.5,8.03,6.09,0,0,0,0,0,5.46,31.67,0,6.9,0,0,0,33.54,3.16,30.86,8.39,31.77,30.39,30.6,30.05,35.7,33.93,9.05,31.9,30.86,30.94,31.58,33.03,33.07,31.98,31.86,31.88,31.36,31.1,30.5,30.7,30.5,31.73,9.35,30.79,9.3
0,11.73,0.09,13.97,0,0,0,0,13.5,30.07,0,0,0,0,0,0,30.66,9.51,0,10.49,6.97,0,0,30.19,11.8,30.87,9.69,7.87,30.78,31.18,30.8,34.47,30.9,33.79,9.08,31.03,33.51,33.37,35.08,34,33.74,31.18,9.56,30.97,30,30.03,30.05,33.01,31.85,30.01,31.1,31.1
0,0,0,3.7,0,0,0,0,4.45,15.67,0,15.6,0.8,0,0,0,6.05,4.34,6.39,0,0,0,0,13.84,0,30.73,0.88,5.91,31.61,31.87,31.15,30.14,33.47,9.6,8.37,30.05,33.46,30.06,30,33.58,33.43,6.85,33.7,30.84,30.58,31.95,33.51,31.06,8.36,7.73,9.05,8.08
6.4,7.67,4.8,6.3,9.05,30.36,6.64,7,4.35,9.73,8.9,9.96,8.88,30.1,30.64,9.05,7.78,6.61,4.69,8,8.75,31.46,31.51,30.1,9.48,30.05,0.99,7.4,7.61,30.99,31.51,30.67,30.99,9.48,5.56,8.15,30.53,30.16,8.4,6.95,8.6,30.01,8.45,9.18,7.7,8.33,8.68,30.08,6.37,4.91,9.08,6.77
6.41,9.61,7.96,6.99,8.97,9,8,8.35,7.8,8.41,8.93,30.01,8.63,9.6,30.04,9.78,8.66,9.89,6.35,8.48,9.7,30.47,31.8,30.08,31.74,8.7,8.88,9.48,30.5,31.15,30.87,33.01,9.8,9.56,30.06,31.1,9.71,8.47,8.89,8.4,8.58,7.6,33.57,9.68,31.37,30.07,30.04,8.45,8.5,9.33,9.35,8.4
3.09,5.58,8.56,8.78,8.4,8.65,7,5.4,6.37,8.35,7.51,8,6.6,5.05,8.07,9,8.31,5.74,0.85,8.64,5.65,9.04,31.35,31.08,9.7,30.04,8.8,9.96,9.73,30,30.1,30.57,30.77,30.45,9.93,8,8.06,8.44,9.87,3.95,5.4,5.88,7.95,5.1,6.4,9.88,7.01,7.31,4.43,4.35,6.1,5.71
0,0,0,3.69,0,0,0,0,0,10.01,0,0,0,0,0,0,6.37,0.86,0,0,0,0,0,0.37,17.36,3.63,0,0,0,0,1.91,4.05,19.96,19.9,0,0,0,4.83,0,6.75,17.33,11.41,4.61,6.6,14.88,0.16,14.14,17.09,0,4.4,10.77,10.68
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.04,11.65,0,0,0,0,0,8.5,0,3.04,0,0,0,0,7.95,30.35,9.71,3.71,0,0,0,0,0,0,1.1,17.31,11.43,0,3.58,0,4.9,18.9,0,0,4.45,9.75
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,4.9,8.74,10,0.09,0,0,0,0,4.57,7.85,4.97,0.63,0,0,0,0.18,0.71,0,8.66,15.59,0,0,0,7.01,0,0,6.51,0,0,9.15
30.38,9.74,30.74,31.95,7.85,9.34,7.09,30.81,6.49,30.83,8.17,30.01,4.78,8.73,33.45,30.45,34.59,35.61,9.44,7.66,30.34,33.64,33.43,34.5,34.76,31.45,36.31,33.81,30.09,30.06,30.36,30.11,33.71,36.79,30.03,9.01,34.4,9.4,35.09,30.68,34.08,0,30.53,31.87,30.8,9.99,30.88,33.16,5.1,6.56,35.16,33.93
33.58,30.3,33.89,7.51,6.3,9.97,31.9,30.16,30.99,30.07,9.37,30.78,34.41,35.13,33.36,30.41,33.71,34.7,31.97,33.45,34.34,34.35,36.83,36.39,34.05,33.04,33.81,34.57,34.64,35.85,35.96,37.71,37,33.81,33.07,34.36,36.73,35.54,36.1,37.03,30.5,30.41,31.04,33.8,35,34.43,30.6,34.77,31.83,5.09,30.47,9.51
31.88,30.06,30.7,30,31.95,30.93,31.41,31.19,30.68,33.83,31.1,31.6,34.05,33.53,33.46,34.96,35.59,31,9.16,33.93,31.85,33.4,35.7,35.4,35.86,31.01,5.01,34.09,34.33,35.9,37.59,36.89,37,30.1,33.96,34.5,36.75,35.5,36.17,36.55,30.3,30,33.08,33.73,30.9,30.8,31.94,9.01,30.73,7.08,8.01,8.63
30.91,30.77,31.54,30.6,7.17,30.97,30.53,9.55,7.8,31.77,31.74,30.5,34.37,34.85,30.4,30.33,31.95,31.9,9,8.99,33.31,33.4,36.56,35.83,34.7,30.05,30.01,31.91,35.46,33.56,35.34,34,33.34,30.06,30.06,35.09,34.09,33.14,34.4,34.1,30.36,9.35,33.87,30.08,31.94,33.64,31.79,8.5,30.81,4.04,30.9,30.03
8.51,30.13,30.71,8.51,30.18,31.18,33.66,30.14,31.79,31.07,5.7,31.87,30.61,34.86,33.89,30.95,30,30.5,4.68,8.76,33.74,33.46,33.99,33.7,30.93,33.73,31.79,30.64,33.61,33.65,35.33,35.77,33.37,9.53,33.89,34.51,36.76,37.5,37.51,36.44,9.77,7.74,34.86,34.11,34.58,34.73,34.17,9.47,33.93,34.76,30.07,9.57
1.85,0.06,3.4,31.7,6.77,18.95,0.48,16.83,18.55,11.71,17.69,13.97,3.75,8.4,0,3.34,0.19,35.04,30.93,3.79,5.44,3.54,7.37,35.77,35.46,17.77,9.9,0,0,0,0,0,0.47,35.49,0,0,30.81,0,35.47,0,33.46,0,0.35,0,8.14,8.58,0,0,0,13.66,10.34,3.18
6.1,0.57,6.07,7.85,19.36,16.54,5.07,8.43,30.61,5.18,16.15,5.44,8.97,17.07,5.91,6.35,31.04,3.84,0,10.77,0,0.64,34.04,35.68,34.45,8.35,0,0,0,30.11,34.6,35.9,34.5,11.96,0,0,6.73,30.57,7.95,7.79,0,0,0,0,0,0,0,0,0,0,0,0
17,8.83,6.65,6.58,19.15,0.46,9.79,8.91,7.45,3.04,14.01,16.43,9.65,31.19,9.06,30.46,30.07,6.79,11.36,11.1,8.9,31.3,34.45,35,34.78,5.58,0,0,16.65,31.48,35.8,36.06,34.53,17.83,16.19,31.61,33.05,35.38,37.15,36.4,0,0,0,4.03,0,33.19,33.81,14.83,0,0,0,10.99
6.73,9.59,30.08,7.54,10.04,0,16.97,0.75,30.4,17.85,0,0,0,16.18,16.15,16.7,30.65,18.73,0,3.91,0,1.33,34.03,33.3,34.46,0,0,0,9.37,30.3,34.66,34.6,34.91,8.33,0,0,6.69,5.89,3.13,11.04,0,0,0,0,0,0,0,0,0,0,0,0
7.31,30,3.06,33.43,3.35,1.67,9.03,5.94,9.65,8.07,17.83,19,16.53,16.35,7.03,7.17,9.95,9.18,8.58,15.93,13.46,8.18,34.37,36,35.31,17.8,0,0,7.69,30.67,36.3,37,35.59,17.39,0.95,5.05,13.58,30.8,30.15,9.63,17.56,5,3.96,5.41,0,11.44,0,10.9,6.63,8.05,0,13.57
